Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","6992","Forest fires","2016","2016","3050","FAO TIER 1","kilotonnes","11.1282","E","Estimated value",""
"GT","Emissions Totals","159","China","7230","Emissions (N2O)","6992","Forest fires","2016","2016","3050","FAO TIER 1","kilotonnes","1.0161","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","6992","Forest fires","2017","2017","3050","FAO TIER 1","kilotonnes","5.9036","E","Estimated value",""
"GT","Emissions Totals","159","China","7230","Emissions (N2O)","6992","Forest fires","2017","2017","3050","FAO TIER 1","kilotonnes","0.539","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","6992","Forest fires","2018","2018","3050","FAO TIER 1","kilotonnes","12.8163","E","Estimated value",""
"GT","Emissions Totals","159","China","7230","Emissions (N2O)","6992","Forest fires","2018","2018","3050","FAO TIER 1","kilotonnes","1.1702","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","6992","Forest fires","2019","2019","3050","FAO TIER 1","kilotonnes","12.5329","E","Estimated value",""
"GT","Emissions Totals","159","China","7230","Emissions (N2O)","6992","Forest fires","2019","2019","3050","FAO TIER 1","kilotonnes","1.1443","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","6992","Forest fires","2020","2020","3050","FAO TIER 1","kilotonnes","11.5683","E","Estimated value",""
"GT","Emissions Totals","159","China","7230","Emissions (N2O)","6992","Forest fires","2020","2020","3050","FAO TIER 1","kilotonnes","1.0562","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","69921","Fires in humid tropical forests","2001","2001","3050","FAO TIER 1","kilotonnes","0.024","E","Estimated value",""
"GT","Emissions Totals","159","China","7230","Emissions (N2O)","69921","Fires in humid tropical forests","2001","2001","3050","FAO TIER 1","kilotonnes","0.0022","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","69921","Fires in humid tropical forests","2002","2002","3050","FAO TIER 1","kilotonnes","0.1784","E","Estimated value",""
"GT","Emissions Totals","159","China","7230","Emissions (N2O)","69921","Fires in humid tropical forests","2002","2002","3050","FAO TIER 1","kilotonnes","0.0163","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","69921","Fires in humid tropical forests","2003","2003","3050","FAO TIER 1","kilotonnes","0.0932","E","Estimated value",""
"GT","Emissions Totals","159","China","7230","Emissions (N2O)","69921","Fires in humid tropical forests","2003","2003","3050","FAO TIER 1","kilotonnes","0.0085","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","69921","Fires in humid tropical forests","2004","2004","3050","FAO TIER 1","kilotonnes","0.0506","E","Estimated value",""
"GT","Emissions Totals","159","China","7230","Emissions (N2O)","69921","Fires in humid tropical forests","2004","2004","3050","FAO TIER 1","kilotonnes","0.0046","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","69921","Fires in humid tropical forests","2005","2005","3050","FAO TIER 1","kilotonnes","0.0746","E","Estimated value",""
"GT","Emissions Totals","159","China","7230","Emissions (N2O)","69921","Fires in humid tropical forests","2005","2005","3050","FAO TIER 1","kilotonnes","0.0068","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","69921","Fires in humid tropical forests","2006","2006","3050","FAO TIER 1","kilotonnes","0.0426","E","Estimated value",""
"GT","Emissions Totals","159","China","7230","Emissions (N2O)","69921","Fires in humid tropical forests","2006","2006","3050","FAO TIER 1","kilotonnes","0.0039","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","69921","Fires in humid tropical forests","2007","2007","3050","FAO TIER 1","kilotonnes","0.0506","E","Estimated value",""
