Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GT","Emissions Totals","156","China, mainland","7225","Emissions (CH4)","69921","Fires in humid tropical forests","2013","2013","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7230","Emissions (N2O)","69921","Fires in humid tropical forests","2013","2013","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7225","Emissions (CH4)","69921","Fires in humid tropical forests","2014","2014","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7230","Emissions (N2O)","69921","Fires in humid tropical forests","2014","2014","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7225","Emissions (CH4)","69921","Fires in humid tropical forests","2015","2015","3050","FAO TIER 1","kilotonnes","0.0453","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7230","Emissions (N2O)","69921","Fires in humid tropical forests","2015","2015","3050","FAO TIER 1","kilotonnes","0.0041","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7225","Emissions (CH4)","69921","Fires in humid tropical forests","2016","2016","3050","FAO TIER 1","kilotonnes","0.0346","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7230","Emissions (N2O)","69921","Fires in humid tropical forests","2016","2016","3050","FAO TIER 1","kilotonnes","0.0032","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7225","Emissions (CH4)","69921","Fires in humid tropical forests","2017","2017","3050","FAO TIER 1","kilotonnes","0.008","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7230","Emissions (N2O)","69921","Fires in humid tropical forests","2017","2017","3050","FAO TIER 1","kilotonnes","0.0007","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7225","Emissions (CH4)","69921","Fires in humid tropical forests","2018","2018","3050","FAO TIER 1","kilotonnes","0.0027","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7230","Emissions (N2O)","69921","Fires in humid tropical forests","2018","2018","3050","FAO TIER 1","kilotonnes","0.0002","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7225","Emissions (CH4)","69921","Fires in humid tropical forests","2019","2019","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7230","Emissions (N2O)","69921","Fires in humid tropical forests","2019","2019","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7225","Emissions (CH4)","69921","Fires in humid tropical forests","2020","2020","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7230","Emissions (N2O)","69921","Fires in humid tropical forests","2020","2020","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7230","Emissions (N2O)","6504","Fertilizers Manufacturing","2001","2001","3050","FAO TIER 1","kilotonnes","67.7277","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7273","Emissions (CO2)","6504","Fertilizers Manufacturing","2001","2001","3050","FAO TIER 1","kilotonnes","75789.1806","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7230","Emissions (N2O)","6504","Fertilizers Manufacturing","2002","2002","3050","FAO TIER 1","kilotonnes","72.3423","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7273","Emissions (CO2)","6504","Fertilizers Manufacturing","2002","2002","3050","FAO TIER 1","kilotonnes","81191.7022","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7230","Emissions (N2O)","6504","Fertilizers Manufacturing","2003","2003","3050","FAO TIER 1","kilotonnes","81.0158","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7273","Emissions (CO2)","6504","Fertilizers Manufacturing","2003","2003","3050","FAO TIER 1","kilotonnes","90838.7191","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7230","Emissions (N2O)","6504","Fertilizers Manufacturing","2004","2004","3050","FAO TIER 1","kilotonnes","84.1038","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7273","Emissions (CO2)","6504","Fertilizers Manufacturing","2004","2004","3050","FAO TIER 1","kilotonnes","95356.8062","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7230","Emissions (N2O)","6504","Fertilizers Manufacturing","2005","2005","3050","FAO TIER 1","kilotonnes","81.6389","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7273","Emissions (CO2)","6504","Fertilizers Manufacturing","2005","2005","3050","FAO TIER 1","kilotonnes","94239.8876","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7230","Emissions (N2O)","6504","Fertilizers Manufacturing","2006","2006","3050","FAO TIER 1","kilotonnes","86.947","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7273","Emissions (CO2)","6504","Fertilizers Manufacturing","2006","2006","3050","FAO TIER 1","kilotonnes","101162.682","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7230","Emissions (N2O)","6504","Fertilizers Manufacturing","2007","2007","3050","FAO TIER 1","kilotonnes","94.2864","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7273","Emissions (CO2)","6504","Fertilizers Manufacturing","2007","2007","3050","FAO TIER 1","kilotonnes","108538.8043","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7230","Emissions (N2O)","6504","Fertilizers Manufacturing","2008","2008","3050","FAO TIER 1","kilotonnes","93.9371","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7273","Emissions (CO2)","6504","Fertilizers Manufacturing","2008","2008","3050","FAO TIER 1","kilotonnes","107806.5658","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7230","Emissions (N2O)","6504","Fertilizers Manufacturing","2009","2009","3050","FAO TIER 1","kilotonnes","98.0921","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7273","Emissions (CO2)","6504","Fertilizers Manufacturing","2009","2009","3050","FAO TIER 1","kilotonnes","115509.0181","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7230","Emissions (N2O)","6504","Fertilizers Manufacturing","2010","2010","3050","FAO TIER 1","kilotonnes","102.747","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7273","Emissions (CO2)","6504","Fertilizers Manufacturing","2010","2010","3050","FAO TIER 1","kilotonnes","122984.5837","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7230","Emissions (N2O)","6504","Fertilizers Manufacturing","2011","2011","3050","FAO TIER 1","kilotonnes","105.6209","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7273","Emissions (CO2)","6504","Fertilizers Manufacturing","2011","2011","3050","FAO TIER 1","kilotonnes","127538.7222","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7230","Emissions (N2O)","6504","Fertilizers Manufacturing","2012","2012","3050","FAO TIER 1","kilotonnes","108.2108","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7273","Emissions (CO2)","6504","Fertilizers Manufacturing","2012","2012","3050","FAO TIER 1","kilotonnes","128238.8674","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7230","Emissions (N2O)","6504","Fertilizers Manufacturing","2013","2013","3050","FAO TIER 1","kilotonnes","107.822","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7273","Emissions (CO2)","6504","Fertilizers Manufacturing","2013","2013","3050","FAO TIER 1","kilotonnes","126859.9167","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7230","Emissions (N2O)","6504","Fertilizers Manufacturing","2014","2014","3050","FAO TIER 1","kilotonnes","117.7085","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7273","Emissions (CO2)","6504","Fertilizers Manufacturing","2014","2014","3050","FAO TIER 1","kilotonnes","137981.2021","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7230","Emissions (N2O)","6504","Fertilizers Manufacturing","2015","2015","3050","FAO TIER 1","kilotonnes","114.3961","E","Estimated value",""
